assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
882795,161254,Vanessa virginiensis,Least Concern,,2020,2020-04-22 00:00:00 UTC,3.1,English,"<p><em>Vanessa virginiensis</em>, also known as the American Lady, is found in open habitats with low-lying vegetation, such as meadows, fields, and grasslands throughout much of the Americas. Although it is common throughout much of its range, population size estimates and trends are unknown. Localized population declines due to habitat conversion and agricultural intensification in the Sacramento Valley of California are probably not pervasive across the range of this species. However, additional research on threats and monitoring of population numbers is needed to ensure range wide stability. Despite these localized trends, this species remains widespread, common, and there is little evidence of widespread threats. Therefore, <em>V. virginiensis</em> is assessed as Least Concern. </p>","<p><em>Vanessa virginiensis</em> can be found in a variety of open habitats with low vegetation, including grasslands, meadows, dunes, openings in forests, agricultural fields and gardens (Opler and Wright 1999). Larval host plants include members of the Asteraceae family, such as Cudweed (<em>Gnaphalium spp.</em>), Everlasting (<em>Anaphalis spp</em>.), and Pussytoes (<em>Antennaria spp</em>.), Wormwood (<em>Artemisia spp.</em>), Ironweed (<em>Veronia spp</em>.) and Burdock (<em>Arctium spp.</em>) (Opler and Wright 1999, Lotts and Naberhaus 2017). As adults, this species feeds almost exclusively on Dogbane <a name=""_Hlk37838118"">(<em>Apocynum spp.</em>)</a>, Aster (<em>Aster spp.</em>), Goldenrod (<em>Solidago spp.</em>), Marigold (<em>Tagetes spp.</em>), Self-heal (<em>Prunella spp.</em>), Milkweed (<em>Asclepias spp.</em>), and Vetch (<em>Vicia spp.</em>, <em>Astragalus spp.</em>, and <em>Lathyrus spp.</em>) (Lotts and Naberhaus 2017). </p>  <p>Adults cannot survive extended cold periods, so only inhabit the northern portions of their range, in the United States and Canada, during the summertime (Opler and Wright 1999). This slight migratory behavior never results in the sort of mass migrations seen in the related Painted Lady (<em>V. cardui</em>) (Brock 2008). In the northern portions of their range, there are three or four generations from May through November (Lotts and Naberhaus 2017). From coastal California, the Southwest, and the Deep South in the United States, through the Southern portions of its range, this species can be collected all year and probably has additional generations (Opler and Wright 1999). </p>","In areas where <em>Vanessa virginiensis</em> population declines appear to be taking place, the major threats include habitat conversion, agricultural intensification, and increased neonicotinoid pesticide use (Forister <em>et al.</em> 2011, Forister <em>et al.</em> 2016). While it is unclear which, if any, of these factors poses a threat to this species specifically, there is evidence these threats, as well as climate change, have caused population declines in other species of butterflies (Flockhart <em>et al. </em>2015, Warren <em>et al. </em>2001, Forister <em>et al. </em>2010). Considering the recorded declines in the Sacramento Valley of California, it is clear more research is needed to determine what threats may be impacting this species across its range.","<p>The total population size for this species is unknown. It is reportedly common throughout much of its range and <a name=""_Hlk37080886"">NatureServe (2020) estimates there could be as many as one million individuals globally.</a></p>    <p>Range wide population trend is also unknown, although declines across a 19 to 31 year period have been recorded at several sites in the Sacramento Valley of California (Forister <em>et al.</em> 2011). In this study, presence/absence data collected biweekly at two sites from 1976 to 2007, and at another two sites from 1988 to 2007,&#160;revealed declines of about 4-6% per year (Forister <em>et al.</em> 2011). This equates to a 33-45% decline over a ten year period. It is unlikely declines as high as these are present over the entire range of this species, as the region in question is likely subject to more habitat conversion and agricultural intensification (Forister <em>et al.</em> 2010) than elsewhere across the range. More research is needed to be certain similar declines are not taking place range wide.</p>",Unknown,"<p><em>Vanessa virginiensis</em> is widespread across the Americas. It is found as a year-round resident from coastal California and southern portions of the United States, throughout much of Mexico, the Caribbean and Central America, to Columbia and Venezuela (Opler and Wright 1999, GBIF 2020). In the springtime, this species migrates north and is found throughout much of the United States, and into southern Canada (Opler and Wright 1999). It has colonized areas outside the Americas, including Hawai’i, and portions of southwest Europe, such as the Canary Islands, Madeira, mainland Portugal and western Spain (Opler and Wright 1999, GBIF 2020). It has been found as far north as Newfoundland and Labrador, and as far east as western Europe, as a vagrant (Opler and Wright 1999). </p>  <p>The estimated extent of occurrence (EOO) of this species where it is a resident is almost 18 million km<sup>2</sup>.&#160; The EOO of the entire range, including the areas where this species spends the summer, but not where it is non-native is closer to 26 million km<sup>2</sup>.&#160; </p>","<p><em>Vanessa virginiensis</em> is utilized by the Butterfly House Industry (BHI). The BHI is estimated to be worth about 100 million dollars (USD) a year, yet little regulation exists (Boppre and Vane-Wright 2012). It is therefore unclear how often this species is traded or collected from wild stock. More research is needed.</p>",Terrestrial,"<p><a name=""_Hlk16762270""></a><a name=""_Hlk16687595"">Due to the ubiquity of this butterfly species, it likely occurs in many protected areas across the world. In North America, for example, it is found on the species checklist for Yosemite National Parks (NPS 2019, Protected Planet 2020). No specific conservation actions are needed at this time, but more </a><a name=""_Hlk16761882"">research should be done across the range of this species to ensure regional populations are stable and ample high-quality habitat remains to support the viability of this species.</a> Need for conservation effort should continue to be monitored via butterfly monitoring schemes such as The North American Butterfly Monitoring Network. </p>",Nearctic|Neotropical|Palearctic,,false,false,Global
1017558,163990,Eleocharis palustris,Least Concern,,2013,2012-04-23 00:00:00 UTC,3.1,English,"This species is widespread, with no significant threat, and it is therefore classed as Least Concern.","<em>E. palustris</em>  will occur in most types of wetland, including the margins of rivers,  ponds, lakes and streams, it will also form large stands in fens,  marshes, swamps and wet meadows, and in ditches, dune-slacks and salt  marshes. It grows in a wide range of organic and mineral soils, but  rarely on acidic peat (Preston <em>et al</em>. 2002).","<p>  </p><p>There are no known significant past, ongoing or future threats to this species.</p>",<p>  </p><p>There is no information available on population trends in this species.</p>,Unknown,"<em></em>This species occurs throughout most of the northern hemisphere,  from the Azores, Canary Islands and North Africa to Iceland and  throughout Europe east through the Middle East, Nepal, Pakistan, the  Caucasus, Kazakhstan and Mongolia to Sakhalin, Japan and China. It also  occurs throughout North America from Alaska to Greenland and south to  eastern Mexico.<br/><span id=""lblTaxonDesc"">",<p>There is no evidence to suggest that this species is used.</p>,Terrestrial|Freshwater (=Inland waters),<p>There are no conservation measures in place and no evidence of any required.</p>,Afrotropical|Indomalayan|Neotropical|Oceanian|Palearctic,,false,false,Global
1019624,164022,Leersia hexandra,Least Concern,,2019,2018-05-23 00:00:00 UTC,3.1,English,"This species has an almost worldwide (pantropic) distribution and has no known major threats, hence it is assessed as Least Concern.","This species grows in permanently moist or marshy habitats, along irrigation ditches, in humid thickets, in ponds, in rice fields, and on moist arable  lands.","There are no known significant past, ongoing or future threats to this species.",There is no information on population size or trends in this species but there is no reason to suspect a decline. The population trend is therefore assumed to be stable.,Stable,"This species is widely distributed throughout the tropics and subtropics, from North Africa south to South Africa and east through the Middle East and India to China and south through South-east Asia to Australia, as well as in the Americas from the southern United States south to Argentina.",This species is a valuable fodder grass and also a serious weed of rice and other moist fields.,Freshwater (=Inland waters),There are no conservation measures in place for this species and none are needed.,Afrotropical|Australasian|Indomalayan|Nearctic|Neotropical|Palearctic,,false,false,Global
1019922,164036,Veronica anagallis-aquatica,Least Concern,,2013,2010-04-28 00:00:00 UTC,3.1,English,This species is assessed as Least Concern because it is widespread and does not face any major threats.,"<span style=""background-color: rgb(255, 255, 255); "">This perennial plant (Hemicryptophyte) is found in most wetland habitat types, including marshy grassland, ditches, rivers, streams and rice fields, and</span>&#160;in other wet places, frequently in shallow water, but  largely above surface<span style=""background-color: rgb(255, 255, 255); "">. Flowering starts at the end of spring and lasts until the beginning of summer.</span>","There are no known significant past, ongoing or future threats to this species.",There is no information available on population trends in this species.,Unknown,"<span style=""background-color: rgb(255, 255, 255); ""><em>V.&#160;anagallis-aquatica</em> is a&#160;subcosmopolitan&#160;species</span><span style=""background-color: rgb(255, 255, 255); "">&#160;that&#160;occurs from northern Africa, Europe east to West and Central Asia, the Arabian Peninsula, Himalaya&#160;</span>(Kashmir to Bhutan), Siberia,&#160;<span style=""background-color: rgb(255, 255, 255); "">China, Korea, Macaronesia and boreal America.&#160;</span><span style=""background-color: rgb(255, 255, 255); "">&#160;It is also&#160;</span>now widely established in the United States.","The entire plant is diuretic in action and its decoction promotes menstruation in suffering women. Ethnobotanically it has been used as alterative, bladder, gargle, scurvy, skin, stone and whitlow. &#160;The leaves of <em>Veronica </em>are edible (raw or cooked) and are rich in vitamin C. The roots and leaves are appetizers and induce urination.",Terrestrial|Freshwater (=Inland waters),There are no conservation measures in place and none needed.,Afrotropical|Australasian|Indomalayan|Neotropical|Palearctic,,false,false,Global
1036571,164276,Bolboschoenus maritimus,Least Concern,,2013,2010-12-18 00:00:00 UTC,3.1,English,"<em>Bolboschoenus maritimus</em> is a cosmopolitan species, widely distributed in South Asia and commonly found in riverine and marshy areas with no major threats affecting the species in the wild. Although it is used extensively for consumption and non-consumptive&#160;purposes, these uses are not threatening to the species. It is hence categorized as Least Concern.","This species commonly grows on&#160;the margins of&#160;permanent or semi permanent waters,&#160;brackish and salt water lagoons, back mangroves and margins of salt marshes (Banerjee <span style=""font-style: italic;"">et al. </span>2002). It is considered a weed in rice fields (Cook 1996).",No specific threats are known for the species.,It is a common and widespread species found along most river courses and marshy areas.,Stable,"<span style=""font-style: italic;"">Bolboschoenus maritimus </span>is an almost cosmopolitan species (Cook 1996) widespread in temperate and tropical regions. Its European<span style=""background-color: rgb(255, 255, 255); "">&#160;subpopulations extend east through Siberia, Mongolia, Kazakhstan and the Indian sub-continent. It also occurs throughout much of Africa, with records in&#160;</span><span style=""background-color: rgb(255, 255, 255); "">Morocco, Algeria, Tunisia, Libya, Egypt, South Africa, Namibia, Somalia, Kenya, Tanzania, Angola, Mauritania, Madagascar, Mali and Djibouti,&#160;</span><span style=""background-color: rgb(255, 255, 255); "">as well as in Mauritius. In the American continent, it occurs throughout northern and western North America (including Hawaii), Central and South America. It has also been recorded in Australia (New South Wales) where it may be naturalized.</span>","The roots of<span style=""font-style: italic;""> Bolboschoenus maritimus</span>  have been used in China as an astringent and diuretic, seeds and rhizomes can be ground into flour and baked  into bread. The leaves are used for making mats, and as  the edging of woven mats and used to warp for sandals as  well as warps and twining wefts for making clothing. The rhizomes form a habitat for beneficial bacteria that give these plants excellent water filtering properties. The tubers are dried and powdered and used as baby feed in Kerala, India (J. Augustine pers. comm.).",Freshwater (=Inland waters)|Marine,No conservation action is needed.,Afrotropical|Australasian|Indomalayan|Nearctic|Neotropical|Palearctic,,false,false,Global
1043245,164340,Arundo donax,Least Concern,,2013,2012-05-02 00:00:00 UTC,3.1,English,<p>This species is assessed as Least Concern because it is widespread and does not face any major threats.</p>,"This species will occur on light sandy soils and loams to and heavy clay soils and will tolerate acid, neutral and basic or even highly alkaline  soils. It is intolerant of shade and typically grows in moist places such as ditches, streams, and  riverbanks, growing best in well drained soils where abundant moisture is  available. It will generally survive where planted, even at high altitudes and drier habitats, however under these conditions it may remain stunted.","<p>There are no known significant past, ongoing or future threats to this species.</p>","There is no information on trends in the native populations of this species. It is very widely introduced and introduction continues, therefore overall the population is probably increasing.",Unknown,"<p>According to the World Checklist of Selected Plant Families (Board of Trustees of the Royal Botanic Gardens, Kew), this species is native only to a fairly narrow area bounded by Cyprus, Kazakhstan and Turkmenistan in the west, the Gulf States in the south and Japan south to Myanmar in the east. The same source describes it as occurring as an introduction from the Atlantic Ocean island groups and the Iberian Peninsula throughout the Mediterranean south through Africa to South Africa, some of the Indian Ocean island groups, Australia, New Zealand and some Pacific Ocean island groups, as well as North and Central America.</p>","The leaves are considered to have antibiotic properties and a paste may be applied externally in cutaneous affections. The root is considered to be diaphoretic, diuretic, emollient and galactofuge. An infusion  is said to stimulate menstrual discharge and diminish milk flow. A  paste of the root is applied to the forehead to treat headaches. Isolated  alkaloids have been experimentally shown to raise the blood pressure and  contract the intestine and uterus. The rhizome or rootstock is used in the  treatment of dropsy. Boiled in wine with honey, the root or rhizome has been  used for treating cancer. The plant contains the alkaloid gramine which is  said to be a vasopressor, raising the blood pressure in dogs after small doses,  causing a fall in larger doses. The stems have been used as splints for  broken limbs.&#160;Other uses include basketry, biomass, broom, dye, hedge, as a musical instrument, paper; pipes, plant support, soil stabilization, thatching, weaving and&#160;windbreak.<span style=""font-weight: bold;""><br/></span>",Terrestrial|Freshwater (=Inland waters),<p>There are no conservation measures in place and none needed.</p>,Indomalayan|Palearctic,,false,false,Global
1044291,164347,Epilobium hirsutum,Least Concern,,2013,2012-05-02 00:00:00 UTC,3.1,English,<p>  </p><p>This species is classed as Least Concern as it is widespread with stable populations and does not face any major threats.</p>,"This species is capable of growing in a very wide range of wetland habitats, from seasonally inundated depressions, through rivers and streams to lake and pond margins, irrigation lane and ditches.","<p>There are no known significant past, ongoing or future threats to this species.</p>",<p>This species is widespread and abundant throughout much of its European range and appears to be increasing as a non-native.</p>,Unknown,"<p>This species<em> </em>is globally found in Europe, Africa and Asia. It is considered introduced in Australia and the United States, where it has been recorded from Maine to Wisconsin and South from Illinois to Maryland, as well as in the states of Washington and Oregon.</p>",This plant has been used as an astringent although it can be poisonous. The leaves are used to make tea in Russia.,Terrestrial|Freshwater (=Inland waters),<p>  </p><p>There are no conservation measures in place and none needed.</p>,Afrotropical|Australasian|Indomalayan|Palearctic,,false,false,Global
1048733,164411,Persicaria lapathifolia,Least Concern,,2013,2012-05-07 00:00:00 UTC,3.1,English,"<p>This species is classed as Least Concern as it is widespread, able to exploit a range of anthropogenic situations and does not face any major threats.</p>","<p>This species is widespread and abundant, occurring wherever suitable  habitat occurs. Some populations may be vast and seed-set is considerable. It is a characteristic species of damp muddy habitats, occurring from  cattle drinking bays on rivers, through the drawdown zones of large  lakes and reservoirs, through damp arable to building sites and damp  areas in urban situations. It is also one of the characteristic species of the <em>Bidentalion</em>, a community most typically associated with silt deposits along large lowland rivers.</p>","<p>There are no known significant past, ongoing or future threats to this species.</p>",<p>There is no information available on population trends in this species.</p>,Unknown,"<p>This species has a more or less cosmopolitan distribution, it occurs throughout Europe south to the Mediterranean and North Africa, east through the Middle East and Indian sub-continent to East Asia and south to Australia and New Zealand; it also occurs from Canada south through the United States, Central America and the Caribbean to South America and on many Oceanic Island groups (CABI International 2012).</p>",This species is ground to make a starch to make a pesticide and treat disease in fish. It is also used for human medicinal purposes.,Terrestrial|Freshwater (=Inland waters),<p>There are no conservation measures in place and none needed.</p>,Afrotropical|Australasian|Indomalayan|Nearctic|Neotropical|Oceanian|Palearctic,,false,false,Global
1051649,164450,Epilobium parviflorum,Least Concern,,2014,2013-03-05 00:00:00 UTC,3.1,English,<p>This species is classed as Least Concern as it is widespread with stable populations and does not face any major threats.</p>,"<em>E. parviflorum </em>typically occurs in swamps, disturbed wet  places near streams, bogs, rivers, open waste slopes and meadows in mountains, from  near sea level to 1,500 m asl.<span class=""short_text"" id=""result_box"">","<p></p><p>There are no known past, ongoing, or future threats to this species</p><p></p>",<p></p><p></p><p>This species is widespread and abundant throughout its known range. There is no detailed information available on population size.</p><p></p><p></p>,Unknown,"<a name=""OLE_LINK60""></a><em>E. parviflorum</em> occurs throughout much of Europe and east through Russia, Nepal and Mongolia to China. It is naturalised in New Zealand and North America",,Terrestrial|Freshwater (=Inland waters),<p></p><p>There are no conservation measures in place and none needed.</p><p></p>,Afrotropical|Australasian|Palearctic,,false,false,Global
1217340,168729,Poa annua,Least Concern,,2013,2010-02-18 00:00:00 UTC,3.1,English,"<p>    </p><p><em>Poa annua</em> is an extremely common and widespread species with no known  threats; it is an early colonizer of bare ground, is a common lawn grass and  'one of the world's worst weeds'; Least Concern is the most appropriate category  for this species.</p>  <p></p>","<em>Poa annua</em> has a widespread ecological distribution, and is one of the world's worst weeds and thrives in anthropogenic habitats. This species is<a name=""OLE_LINK16""> a potential seed contaminant.</a><span id=""lblTaxonDesc""><br/><br/><span id=""lblTaxonDesc""><p><span class=""datatitle1""><br/><span class=""datatitle1""></span></p></span>","<p>There are no particular threats to this species.</p>  <p><span lang=""EN-US""><br/></p>","<p>There is no detailed population information on this species, but it is very widespread and common and is likely to be increasing given its invasive capabilities.<br/></p>",Increasing,"This plant is a very widespread and common species with a cosmopolitan distribution throughout temperate regions of both hemispheres, and in tropical highland regions. It is not generally found in arid areas or deserts. The species has historically been introduced in many areas and it is not easy to distinguish the introduced range from the native range. Recorded from sea level up to 4,800 m.<span id=""lblTaxonDesc"">","<p><a name=""OLE_LINK17""></a><a name=""OLE_LINK16"">This plant is used as turf grass.</a></p><p><a name=""OLE_LINK16""></a><span lang=""EN-US""></p>",Terrestrial,"<p><span lang=""EN-US"">The species is common, no conservation action is needed. It occurs in many protected areas across its extensive range.<br/></p><p><span lang=""EN-US""><br/></span></p>",Afrotropical|Antarctic|Australasian|Indomalayan|Nearctic|Neotropical|Oceanian|Palearctic,,false,false,Global
