internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
161254,Vanessa virginiensis,"Papilio virginiensis Drury, 1773",Papilio,virginiensis,"Drury, 1773",,
163990,Eleocharis palustris,Heliocharis palustris (L.) R. Br.,Heliocharis,palustris,(L.) R. Br.,,
163990,Eleocharis palustris,Scirpus palustris L.,Scirpus,palustris,L.,,
164022,Leersia hexandra,Oryza  australis A.Braun. ex Schweinf.,Oryza ,australis,A.Braun. ex Schweinf.,,
164022,Leersia hexandra,Oryza hexandra (Sw.) Döll,Oryza,hexandra,(Sw.) Döll,,
164022,Leersia hexandra,Leersia mauritanica Salzm. ex Trin.,Leersia,mauritanica,Salzm. ex Trin.,,
164036,Veronica anagallis-aquatica,Veronica anagallis-aquatica ssp. aquatica (Bernh.) Maire,Veronica,anagallis-aquatica,,subspecies,(Bernh.) Maire
164036,Veronica anagallis-aquatica,Veronica catenata Pennell,Veronica,catenata,Pennell,,
164276,Bolboschoenus maritimus,Reigera maritima (L.) Opiz,Reigera,maritima,(L.) Opiz,,
164276,Bolboschoenus maritimus,Schoenoplectus maritimus (L.) Lye,Schoenoplectus,maritimus,(L.) Lye,,
164276,Bolboschoenus maritimus,Scirpus maritimus L.,Scirpus,maritimus,L.,,
164340,Arundo donax,Arundo scriptoria L.,Arundo,scriptoria,L.,,
164340,Arundo donax,Donax sativa (Lam.) C.Presl,Donax,sativa,(Lam.) C.Presl,,
164340,Arundo donax,Donax arundinaceus P. Beauv.,Donax,arundinaceus,P. Beauv.,,
164340,Arundo donax,Aira bengalensis (Retz.) J.F.Gmel.,Aira,bengalensis,(Retz.) J.F.Gmel.,,
164340,Arundo donax,Arundo aegyptiaca E.Vilm.,Arundo,aegyptiaca,E.Vilm.,,
164340,Arundo donax,Arundo bengalensis Retz.,Arundo,bengalensis,Retz.,,
164340,Arundo donax,Arundo bifaria Retz.,Arundo,bifaria,Retz.,,
164340,Arundo donax,Arundo coleotricha (Hack.) Honda,Arundo,coleotricha,(Hack.) Honda,,
164340,Arundo donax,Arundo glauca Bubani,Arundo,glauca,Bubani,,
